"";"fylke";"byggetype";"byggeareal"
"1";"01";"111";76074
"2";"01";"112";13006
"3";"01";"113";1899
"4";"01";"121";15913
"5";"01";"122";6310
"6";"01";"123";244
"7";"01";"124";153
"8";"01";"131";17982
"9";"01";"133";3408
"10";"01";"135";3018
"11";"01";"136";11664
"12";"01";"141";9533
"13";"01";"142";31244
"14";"01";"143";42732
"15";"01";"144";0
"16";"01";"145";1657
"17";"01";"146";7572
"18";"01";"151";761
"19";"01";"152";0
"20";"01";"159";0
"21";"01";"000";6999
"22";"02";"111";140668
"23";"02";"112";28684
"24";"02";"113";1301
"25";"02";"121";55082
"26";"02";"122";2276
"27";"02";"123";0
"28";"02";"124";0
"29";"02";"131";50284
"30";"02";"133";21346
"31";"02";"135";0
"32";"02";"136";16155
"33";"02";"141";15640
"34";"02";"142";57871
"35";"02";"143";112544
"36";"02";"144";354
"37";"02";"145";3125
"38";"02";"146";44724
"39";"02";"151";3259
"40";"02";"152";464
"41";"02";"159";1132
"42";"02";"000";19588
"43";"03";"111";38475
"44";"03";"112";1551
"45";"03";"113";0
"46";"03";"121";24168
"47";"03";"122";3949
"48";"03";"123";0
"49";"03";"124";0
"50";"03";"131";16908
"51";"03";"133";1039
"52";"03";"135";871
"53";"03";"136";8771
"54";"03";"141";2504
"55";"03";"142";22553
"56";"03";"143";346075
"57";"03";"144";0
"58";"03";"145";0
"59";"03";"146";11150
"60";"03";"151";0
"61";"03";"152";21384
"62";"03";"159";108
"63";"03";"000";8345
"64";"04";"111";47319
"65";"04";"112";4207
"66";"04";"113";4700
"67";"04";"121";11011
"68";"04";"122";1778
"69";"04";"123";154
"70";"04";"124";0
"71";"04";"131";7414
"72";"04";"133";3537
"73";"04";"135";0
"74";"04";"136";5257
"75";"04";"141";6045
"76";"04";"142";8154
"77";"04";"143";1540
"78";"04";"144";0
"79";"04";"145";0
"80";"04";"146";8786
"81";"04";"151";448
"82";"04";"152";2420
"83";"04";"159";0
"84";"04";"000";6210
"85";"05";"111";41191
"86";"05";"112";4336
"87";"05";"113";4352
"88";"05";"121";14767
"89";"05";"122";953
"90";"05";"123";64
"91";"05";"124";0
"92";"05";"131";2041
"93";"05";"133";4412
"94";"05";"135";0
"95";"05";"136";4314
"96";"05";"141";3289
"97";"05";"142";3709
"98";"05";"143";5340
"99";"05";"144";918
"100";"05";"145";0
"101";"05";"146";13152
"102";"05";"151";1023
"103";"05";"152";842
"104";"05";"159";94
"105";"05";"000";2583
"106";"06";"111";63002
"107";"06";"112";10361
"108";"06";"113";2954
"109";"06";"121";11669
"110";"06";"122";1324
"111";"06";"123";0
"112";"06";"124";0
"113";"06";"131";11752
"114";"06";"133";8392
"115";"06";"135";1650
"116";"06";"136";9813
"117";"06";"141";3286
"118";"06";"142";43671
"119";"06";"143";11710
"120";"06";"144";0
"121";"06";"145";2238
"122";"06";"146";4711
"123";"06";"151";979
"124";"06";"152";6284
"125";"06";"159";0
"126";"06";"000";17378
"127";"07";"111";58922
"128";"07";"112";4857
"129";"07";"113";2229
"130";"07";"121";10704
"131";"07";"122";4245
"132";"07";"123";0
"133";"07";"124";0
"134";"07";"131";10202
"135";"07";"133";4170
"136";"07";"135";0
"137";"07";"136";11448
"138";"07";"141";6081
"139";"07";"142";25486
"140";"07";"143";34572
"141";"07";"144";0
"142";"07";"145";6526
"143";"07";"146";2994
"144";"07";"151";0
"145";"07";"152";532
"146";"07";"159";104
"147";"07";"000";4061
"148";"08";"111";42047
"149";"08";"112";2492
"150";"08";"113";2705
"151";"08";"121";7207
"152";"08";"122";1304
"153";"08";"123";0
"154";"08";"124";0
"155";"08";"131";2456
"156";"08";"133";3867
"157";"08";"135";0
"158";"08";"136";6193
"159";"08";"141";3768
"160";"08";"142";2120
"161";"08";"143";16645
"162";"08";"144";0
"163";"08";"145";0
"164";"08";"146";0
"165";"08";"151";0
"166";"08";"152";2188
"167";"08";"159";0
"168";"08";"000";2201
"169";"09";"111";43740
"170";"09";"112";1828
"171";"09";"113";1335
"172";"09";"121";7938
"173";"09";"122";142
"174";"09";"123";0
"175";"09";"124";455
"176";"09";"131";1101
"177";"09";"133";692
"178";"09";"135";0
"179";"09";"136";8640
"180";"09";"141";340
"181";"09";"142";7028
"182";"09";"143";3113
"183";"09";"144";0
"184";"09";"145";0
"185";"09";"146";5747
"186";"09";"151";0
"187";"09";"152";1436
"188";"09";"159";0
"189";"09";"000";745
"190";"10";"111";69588
"191";"10";"112";12007
"192";"10";"113";2168
"193";"10";"121";10691
"194";"10";"122";793
"195";"10";"123";0
"196";"10";"124";0
"197";"10";"131";8292
"198";"10";"133";1247
"199";"10";"135";0
"200";"10";"136";5565
"201";"10";"141";1293
"202";"10";"142";20495
"203";"10";"143";22967
"204";"10";"144";0
"205";"10";"145";5590
"206";"10";"146";0
"207";"10";"151";2610
"208";"10";"152";0
"209";"10";"159";115
"210";"10";"000";2311
"211";"11";"111";135330
"212";"11";"112";20847
"213";"11";"113";4167
"214";"11";"121";18225
"215";"11";"122";2699
"216";"11";"123";310
"217";"11";"124";0
"218";"11";"131";41635
"219";"11";"133";11988
"220";"11";"135";322
"221";"11";"136";8820
"222";"11";"141";5488
"223";"11";"142";36574
"224";"11";"143";43715
"225";"11";"144";700
"226";"11";"145";2103
"227";"11";"146";17495
"228";"11";"151";0
"229";"11";"152";0
"230";"11";"159";1106
"231";"11";"000";1974
"232";"12";"111";114472
"233";"12";"112";19095
"234";"12";"113";3050
"235";"12";"121";35264
"236";"12";"122";2092
"237";"12";"123";0
"238";"12";"124";0
"239";"12";"131";23765
"240";"12";"133";713
"241";"12";"135";0
"242";"12";"136";19385
"243";"12";"141";7978
"244";"12";"142";39355
"245";"12";"143";56210
"246";"12";"144";1276
"247";"12";"145";0
"248";"12";"146";9357
"249";"12";"151";1980
"250";"12";"152";7885
"251";"12";"159";0
"252";"12";"000";3351
"253";"14";"111";23831
"254";"14";"112";6180
"255";"14";"113";3598
"256";"14";"121";5992
"257";"14";"122";1196
"258";"14";"123";389
"259";"14";"124";0
"260";"14";"131";4542
"261";"14";"133";3599
"262";"14";"135";0
"263";"14";"136";5569
"264";"14";"141";0
"265";"14";"142";7514
"266";"14";"143";0
"267";"14";"144";896
"268";"14";"145";622
"269";"14";"146";1765
"270";"14";"151";2954
"271";"14";"152";0
"272";"14";"159";0
"273";"14";"000";2573
"274";"15";"111";62448
"275";"15";"112";8010
"276";"15";"113";3902
"277";"15";"121";24668
"278";"15";"122";2781
"279";"15";"123";263
"280";"15";"124";145
"281";"15";"131";3698
"282";"15";"133";1614
"283";"15";"135";0
"284";"15";"136";15675
"285";"15";"141";3066
"286";"15";"142";13279
"287";"15";"143";9887
"288";"15";"144";1235
"289";"15";"145";2244
"290";"15";"146";0
"291";"15";"151";4423
"292";"15";"152";0
"293";"15";"159";3121
"294";"15";"000";307
"295";"50";"111";103180
"296";"50";"112";17933
"297";"50";"113";5480
"298";"50";"121";11281
"299";"50";"122";4384
"300";"50";"123";424
"301";"50";"124";270
"302";"50";"131";26398
"303";"50";"133";5661
"304";"50";"135";0
"305";"50";"136";14298
"306";"50";"141";14249
"307";"50";"142";52893
"308";"50";"143";65335
"309";"50";"144";720
"310";"50";"145";1371
"311";"50";"146";3350
"312";"50";"151";1482
"313";"50";"152";202
"314";"50";"159";577
"315";"50";"000";4801
"316";"18";"111";43427
"317";"18";"112";4937
"318";"18";"113";1314
"319";"18";"121";9300
"320";"18";"122";2791
"321";"18";"123";0
"322";"18";"124";0
"323";"18";"131";4015
"324";"18";"133";1079
"325";"18";"135";599
"326";"18";"136";5705
"327";"18";"141";4172
"328";"18";"142";13610
"329";"18";"143";19454
"330";"18";"144";0
"331";"18";"145";1680
"332";"18";"146";15636
"333";"18";"151";1394
"334";"18";"152";6155
"335";"18";"159";794
"336";"18";"000";2962
"337";"19";"111";25508
"338";"19";"112";7408
"339";"19";"113";1495
"340";"19";"121";6780
"341";"19";"122";4578
"342";"19";"123";94
"343";"19";"124";0
"344";"19";"131";4429
"345";"19";"133";471
"346";"19";"135";0
"347";"19";"136";8569
"348";"19";"141";1851
"349";"19";"142";7406
"350";"19";"143";18337
"351";"19";"144";0
"352";"19";"145";0
"353";"19";"146";15958
"354";"19";"151";0
"355";"19";"152";0
"356";"19";"159";186
"357";"19";"000";834
"358";"20";"111";15031
"359";"20";"112";6880
"360";"20";"113";656
"361";"20";"121";2410
"362";"20";"122";398
"363";"20";"123";0
"364";"20";"124";0
"365";"20";"131";2027
"366";"20";"133";0
"367";"20";"135";0
"368";"20";"136";589
"369";"20";"141";2095
"370";"20";"142";6738
"371";"20";"143";2955
"372";"20";"144";462
"373";"20";"145";0
"374";"20";"146";2841
"375";"20";"151";0
"376";"20";"152";0
"377";"20";"159";660
"378";"20";"000";1171
